	_id	measurementTechniqueIRIs
31	vivli_2afef288-abb5-4731-8665-6ac2023e863e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
32	vivli_2b09e926-6916-4219-b0cb-ef6e1656a8c8	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
33	vivli_2b18237d-c189-4a9b-b009-a2ebc2a1ced4	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
34	vivli_2b7606d4-998b-4ec9-8f68-a74b60186494	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C142646', 'NA']
35	vivli_2bcb86da-9e95-4142-8ac9-c8456df43057	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
36	vivli_2bd49f90-6d06-465e-805a-69c696d0d956	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
37	vivli_2bda939c-30ca-477e-bc2a-c7241c9ffd7c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
38	vivli_2bdc1950-09de-4813-915f-4cd65141f976	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
39	vivli_2c3f7276-e095-484e-82a2-feb2e2be3b44	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
40	vivli_2ccdd0c8-f309-414a-b906-65f9a1d36c9e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
41	vivli_2cecabdb-9f6a-4e77-a1bf-6049acd3de2e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
42	vivli_2d16cebe-0c6c-47a0-abae-f28cc3edde0c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
43	vivli_2d33654c-3fe7-482b-b609-e5f67e2eb06b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
44	vivli_2d7b73a5-e6a7-4a75-a621-9275f80efd4c	['http://purl.obolibrary.org/obo/NCIT_C82640']
45	vivli_2d8bfda8-6dc2-43b5-a40a-8b5e88cfdff4	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C53310', 'NA']
46	vivli_2dbe26c9-a078-43be-8ad1-fd13e5b009a5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
47	vivli_2debc961-be97-4cb7-b4f0-cc6d97487b91	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
48	vivli_2e2a6d4a-3281-413b-94fd-a0c4095fc82b	['http://purl.obolibrary.org/obo/NCIT_C82640']
49	vivli_2e59cfcd-7e4b-4a71-93f5-b0f66d4bae38	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
50	vivli_2e5d70aa-8517-4b8f-ae72-8d97d2f63ba7	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
51	vivli_2ebfca8d-a0b3-40f6-83cf-7e29e2444571	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
52	vivli_2ec08760-99c6-4a6f-87e4-888ec5691122	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
53	vivli_2f058c91-5e20-4468-ab57-fb8c8d62cb4c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
54	vivli_2f30af1c-fac4-484c-968e-fbf047bf0e3d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
55	vivli_2f3a72f1-e31c-4262-95d3-87756e938d2e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
56	vivli_2f3b9f03-6569-4b65-8cda-2ec5b1914a17	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
57	vivli_2f9236a9-361d-4195-84a8-206dbbc160ee	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
58	vivli_2f9905cf-97ac-40bd-b731-5bf60c45d330	['http://purl.obolibrary.org/obo/NCIT_C82640']
59	vivli_2fafbf25-c6e3-451b-8781-fd38d41b0547	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
60	vivli_302bc659-4917-4c35-b24b-93b37e133ed0	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
61	vivli_3052540e-4891-4221-8355-bd4e63d39446	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
62	vivli_3056d7d0-e196-4a3a-bf8f-7add42044696	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
63	vivli_3069e2cd-d3b7-4cd5-89c0-5e2a865b9ed7	['http://purl.obolibrary.org/obo/NCIT_C82640']
64	vivli_308f00c1-195d-4dcd-8c30-f007874cc85c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
65	vivli_30bcffb0-314c-484f-8ed0-254c095b4585	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
66	vivli_3106c4a6-c16e-4976-9787-7807290024b2	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
67	vivli_310db4a1-81f5-4fc2-80c9-ef8844d8f366	['http://purl.obolibrary.org/obo/NCIT_C82640']
68	vivli_3127c80c-c3ce-48ff-a40e-af5d4743f2af	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
69	vivli_3148bbb2-906e-4c08-8953-83e332260a31	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
