	_id	measurementTechniqueIRIs
1455	vivli_f7bca28a-656f-4288-b787-59e5fcbb52e3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1456	vivli_f7c12b66-e0c7-419f-a7ee-7c613159862a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1457	vivli_f7d58e85-6f0d-4d6f-9ff4-87cb805dcd55	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1458	vivli_f7d9dc5d-bb32-47b2-95a2-411ce0f50057	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1459	vivli_f835acb6-e625-4cb9-aba3-a2f8cb9b4fcf	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1460	vivli_f835c991-aba7-4074-8f5d-d8bd7c10305d	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1461	vivli_f84b5386-4121-46c5-a02b-f33939946bd3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1462	vivli_f85bb557-219c-4e7c-82f2-ce537cd31038	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1463	vivli_f87f21d7-cbec-415b-b331-6874a1c9d9f5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1464	vivli_f880f38e-f631-462a-aff1-6f307f6acd19	['http://purl.obolibrary.org/obo/NCIT_C82640']
1465	vivli_f8a166e9-0337-4eb9-bbab-2025225d9397	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1466	vivli_f8c65c4a-0c50-4d5c-ae88-d0a42adc540d	['http://purl.obolibrary.org/obo/NCIT_C82640']
1467	vivli_f8ced813-6a36-4dff-b57d-376074705b93	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1468	vivli_f8de3248-bc8d-436c-a3da-4c27e425a7b5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1469	vivli_f90ac6aa-0e47-4a19-8c3d-7b5823b333d1	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1470	vivli_f91725fd-38f2-4432-848d-64811ac5f6c0	['http://purl.obolibrary.org/obo/NCIT_C82640']
1471	vivli_f91efdd4-3b6c-4eca-90e9-7a586eeb16aa	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1472	vivli_f9589405-eead-4085-8cd4-609c2e702fc0	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1473	vivli_f97fa8e4-b3e2-409e-a9ee-e8f23510e39b	['http://purl.obolibrary.org/obo/NCIT_C98388', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1474	vivli_f9ab30aa-9fe5-45de-b28c-cdb3b72c76e3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1475	vivli_f9c32c92-a2f9-4fc9-afe1-11290e415f8c	['http://purl.obolibrary.org/obo/NCIT_C82640']
1476	vivli_f9f5dda1-8d16-4bd9-b1d0-235665553384	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1477	vivli_f9fd266a-219e-4551-a0fb-19c1dcfc8277	['http://purl.obolibrary.org/obo/NCIT_C82640']
1478	vivli_fa0cf6af-963f-44db-83e4-fcc824faa3ad	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1479	vivli_fa48ec6a-603c-45d6-9836-eddd79908357	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1480	vivli_fac967de-a8cf-4020-b7ed-4990bf350334	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C53310', 'NA']
1481	vivli_fad2fb8c-9fa3-41c5-a351-947ce39126f8	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1482	vivli_fae4d1c1-9297-4064-bea4-88dd5996624d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1483	vivli_fb30a5bc-1e26-4558-9841-b9717f536edd	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1484	vivli_fb4ebece-faee-48e7-b730-dce4138e2fba	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1485	vivli_fb660638-8904-4cb6-b4b3-53a0a7273004	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1486	vivli_fb690986-9eaf-4e3b-a85b-75f11f4e23b6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1487	vivli_fb6c2090-a6d4-4a0e-84d1-54cd3838016a	['http://purl.obolibrary.org/obo/NCIT_C82640']
1488	vivli_fb76645d-efd7-4b0a-9683-c43975f5e30f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1489	vivli_fb7e5162-04c1-420a-8b73-2333df183e86	['http://purl.obolibrary.org/obo/NCIT_C82640']
1490	vivli_fbcacbfb-e26c-4f71-aac9-370397c5e5e6	['http://purl.obolibrary.org/obo/NCIT_C82640']
1491	vivli_fbe5c457-5656-40a7-93d1-6f46cfdae2bf	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1492	vivli_fbf7b238-e3db-4532-8ec9-45993aefbe8d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1493	vivli_fbfce3d2-92f7-4370-ba76-0f2805ae5de0	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1494	vivli_fc05d750-76af-42d9-9d66-b141d7ec3e43	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1495	vivli_fc6e368a-c6e9-41b0-8a67-cb7ce03cf3a6	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C53310', 'NA']
1496	vivli_fc7430d4-742f-4ac5-ac96-fca73953dac3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1497	vivli_fc859479-c61e-4b37-adc3-ac8f39e5b758	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1498	vivli_fca13eed-5132-417b-b129-6eea2016495a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1499	vivli_fcce4ce8-a457-44b2-bb73-e3cfeb43a466	
1500	vivli_fcde2801-ac48-4314-8a39-ac234bd259ab	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1501	vivli_fce3acb1-484a-48d8-a7d8-e6d2cafe8fda	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1502	vivli_fd129b58-66a2-4049-ba7a-4f1beb48cabe	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1503	vivli_fd1868b7-f330-42be-8a88-97a4dd0ee475	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1504	vivli_fd35e7f1-720a-4998-b1f9-935ac7e27084	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1505	vivli_fd45ca98-4440-4446-b5bb-87e8bd2992a6	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1506	vivli_fd81d01c-83e7-4162-8fe4-c72a77f79ba6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1507	vivli_fd9877d3-a734-4f7f-b3c4-f713ede816f6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1508	vivli_fdc262d9-aac5-4454-b635-8508b1170094	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1509	vivli_fdd3125d-b26c-4ade-92e6-22bcd2d58456	['http://purl.obolibrary.org/obo/NCIT_C82640']
1510	vivli_fdee5b89-155c-468d-81a6-ab4bb8989ea3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1511	vivli_fe3266de-5232-4e3f-8ccb-0b5102efca24	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1512	vivli_fe58a45a-be63-48b3-b42c-1835f824ba13	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1513	vivli_fe5ee02e-1801-4fdb-9b99-8378ed8dfdc6	['http://purl.obolibrary.org/obo/NCIT_C82640']
1514	vivli_fe6842a6-e58d-4753-ac5d-e13a97b3e584	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1515	vivli_fe6bdc1a-df8e-4191-8b38-dea79667be65	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1516	vivli_fe7a26cc-ab6f-4e41-9537-34fcb7a829aa	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1517	vivli_fe976093-53ef-4ec5-bc71-a1dfadf7fe2e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1518	vivli_fed8b65a-2820-478d-83b2-d27d5daf9d07	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1519	vivli_feea0fe2-16eb-4dec-a8db-4ba31c1b106f	['http://purl.obolibrary.org/obo/NCIT_C82640']
1520	vivli_fefdfa09-e2bd-42ad-98c2-2e19e5a42be3	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1521	vivli_ff063fac-9200-4a74-97e5-9071aa00bcb7	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1522	vivli_ff17267c-8dce-4af2-bce1-74748ec44de9	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1523	vivli_ff3cc857-5938-465b-86cd-86242b7b2c0d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1524	vivli_ff526e27-de21-4c79-a7d6-acdb7a6da0a0	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1525	vivli_ff92175f-4924-4354-a83d-13cf9d633ed5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1526	vivli_ffa65ee1-5f49-4c20-8297-a9e3e53f3924	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1527	vivli_ffb5f319-6a5a-43ad-9f59-9c88781124d6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1528	vivli_ffcfcd12-b125-4e79-a3d4-0cb3563bf81b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1529	vivli_6bd4e438-6fe2-4e6b-9664-55f8fe98092d	['http://purl.obolibrary.org/obo/NCIT_C82640']
1530	vivli_6ca4197b-0096-4173-ae80-f9d0f27d55ff	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1531	vivli_6cbc3b48-e29b-4002-a1f3-e8891eee487c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1532	vivli_6cc67dc0-91e2-41f9-8087-f71356e96a5c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1533	vivli_6ce189e5-d4c3-4ec8-aa99-34e5f0b9c44d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1534	vivli_6d5e5823-e16e-46c4-a91f-ef2401f66b29	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1535	vivli_6d7a7d41-ab15-4a13-bc0c-fcaf44c43033	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1536	vivli_6efa196c-92c3-4470-943c-b7cdf563bbf5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1537	vivli_6f02ddda-5d2d-459f-8735-7037b976c713	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1538	vivli_6f583e85-e10b-4b30-a721-69ce5ccabc2c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1539	vivli_6f7f59bf-b220-4336-9bc6-553c4cce3fac	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1540	vivli_700288ac-bd06-483d-be2f-3a5cf3be58ae	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1541	vivli_7073d04f-515b-4a4f-8ca8-93dfe34f13bc	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1542	vivli_70e27bd0-8655-42bb-a4bb-d8ca10e13fd5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1543	vivli_70fd03d3-736a-4182-9814-b2a23f0a27d8	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1544	vivli_71060ada-ddb2-4f31-a98f-5080e1d5f2b3	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1545	vivli_717fce82-085a-4ae2-813d-83ad5838663f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1546	vivli_71b7530e-2441-48a4-bdce-94d7be22bff4	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C142646']
1547	vivli_71cb8471-bfd7-4a2d-8429-8696f690301a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1548	vivli_71f94b72-770b-44da-b5cd-7a13f7428e62	['http://purl.obolibrary.org/obo/NCIT_C82640']
1549	vivli_7225f186-2232-477d-9383-2fa81128a5b0	['http://purl.obolibrary.org/obo/NCIT_C82640']
1550	vivli_7232c33d-d8e1-400d-ac4b-781ae55a3bad	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1551	vivli_72332eb2-f15c-4696-8484-416b44661a3f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1552	vivli_72583333-7515-46e9-8654-f221aebd4bc8	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1553	vivli_726a94dc-a9e5-449a-8944-d720ff7ba754	['http://purl.obolibrary.org/obo/NCIT_C82640']
1554	vivli_72763c86-f162-4c9d-b283-f57aca55eb0e	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C142646']
1555	vivli_72ba4e4e-32b7-4e0f-a641-756974c1f4ef	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1556	vivli_72d049b5-b1de-46df-9b34-2d66f0e79f4f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1557	vivli_72d0fe2e-6f34-4dec-b4d4-61fe8f7db875	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1558	vivli_72dcad30-b9bb-4229-a806-b51392388978	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1559	vivli_72f6129f-4a3e-44b7-bcd5-a01f5768afc2	['http://purl.obolibrary.org/obo/NCIT_C82640']
1560	vivli_730b6925-19cf-4ee8-aad4-42827b6836c7	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1561	vivli_7318f544-3d74-4d43-b710-c3b0a0285d12	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1562	vivli_734d8c48-b2ba-4f1a-bc3d-b88ed85fadf2	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1563	vivli_73791a80-b84e-4746-9c2a-29a61e34732e	['http://purl.obolibrary.org/obo/NCIT_C82640']
1564	vivli_738bb57e-201d-41e1-9ce3-e60d5c71b5d4	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1565	vivli_73c28321-c1a0-4fdc-9c78-b0276d22bd55	['http://purl.obolibrary.org/obo/NCIT_C82638', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1566	vivli_73d9940d-58d8-4d1c-a7d9-22331e1f0818	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C142646', 'NA']
1567	vivli_73eefbcb-eb44-4307-83ce-07dc91c09be6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1568	vivli_743a84f2-9e1f-455d-bd35-2acc7a0b035c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1569	vivli_743fae7c-9179-49ca-998b-d6eab752936a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1570	vivli_743fd068-5d7d-4b2b-9ef5-afdf5dffa966	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1571	vivli_7443fffb-d0d8-456c-bc7a-ffe2f69fc881	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1572	vivli_74458334-605c-49a7-9658-f3c7c7a7bc31	['http://purl.obolibrary.org/obo/NCIT_C82640']
1573	vivli_744a5bb0-70f6-4969-bc86-a3118e6a3e9d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1574	vivli_74535f22-287d-45e8-98e9-5d66fe0dc4e5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1575	vivli_746d912a-9878-4c43-99a8-4e03f8cc724b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1576	vivli_74721d74-33e6-456d-b015-6ca1b7f1988f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1577	vivli_7477e128-1250-4d96-9c02-edcc23ecf0b5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1578	vivli_74e49a8c-97d0-4527-879a-cf871e14613b	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1579	vivli_756ec56c-2432-490f-be68-02a43e563d42	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1580	vivli_75e53a46-3111-454b-b261-a23846e8994b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1581	vivli_75ea3de3-8490-4520-96d4-831618de3521	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1582	vivli_760e2b15-02f9-4cbd-a624-7b16df11ffab	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1583	vivli_763f46ee-06a7-4b17-b93f-7d9cc7f469cf	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1584	vivli_7645c877-5354-43ae-b414-3cd655f3e66b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
1585	vivli_76510f38-1411-4713-8d77-f90d578fb766	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
