,source_id,map_method,target_id
55,http://purl.obolibrary.org/obo/NCIT_C115248,LOOM,http://www.ebi.ac.uk/efo/EFO_0008555
56,http://purl.obolibrary.org/obo/NCIT_C122523,LOOM,http://www.ebi.ac.uk/efo/EFO_0008556
57,http://purl.obolibrary.org/obo/NCIT_C26918,LOOM,http://www.ebi.ac.uk/efo/EFO_0007313
58,http://purl.obolibrary.org/obo/NCIT_C51224,LOOM,http://www.ebi.ac.uk/efo/EFO_0003911
59,http://purl.obolibrary.org/obo/NCIT_C4925,LOOM,http://www.ebi.ac.uk/efo/EFO_1000352
60,http://purl.obolibrary.org/obo/NCIT_C27002,LOOM,http://www.ebi.ac.uk/efo/EFO_0009512
61,http://purl.obolibrary.org/obo/NCIT_C34447,LOOM,http://www.ebi.ac.uk/efo/EFO_0000181
62,http://purl.obolibrary.org/obo/NCIT_C40093,LOOM,http://www.ebi.ac.uk/efo/EFO_1000432
63,http://purl.obolibrary.org/obo/NCIT_C129025,LOOM,http://www.ebi.ac.uk/efo/EFO_0004235
64,http://purl.obolibrary.org/obo/NCIT_C89338,LOOM,http://www.ebi.ac.uk/efo/EFO_0010642
65,http://purl.obolibrary.org/obo/NCIT_C6177,LOOM,http://www.ebi.ac.uk/efo/EFO_1000127
66,http://purl.obolibrary.org/obo/NCIT_C39611,LOOM,http://www.ebi.ac.uk/efo/EFO_1000987
67,http://purl.obolibrary.org/obo/NCIT_C96160,LOOM,http://www.ebi.ac.uk/efo/EFO_1000195
68,http://purl.obolibrary.org/obo/NCIT_C95834,LOOM,http://www.ebi.ac.uk/efo/EFO_0005207
69,http://purl.obolibrary.org/obo/NCIT_C84886,LOOM,http://www.ebi.ac.uk/efo/EFO_1001039
70,http://purl.obolibrary.org/obo/NCIT_C98920,LOOM,http://www.ebi.ac.uk/efo/EFO_1000915
71,http://purl.obolibrary.org/obo/NCIT_C4038,LOOM,http://www.ebi.ac.uk/efo/EFO_1000037
72,http://purl.obolibrary.org/obo/NCIT_C37417,LOOM,http://www.ebi.ac.uk/efo/EFO_0002547
73,http://purl.obolibrary.org/obo/NCIT_C41329,LOOM,http://www.ebi.ac.uk/efo/EFO_0005054
74,http://purl.obolibrary.org/obo/NCIT_C40036,LOOM,http://www.ebi.ac.uk/efo/EFO_1000138
75,http://purl.obolibrary.org/obo/NCIT_C5783,LOOM,http://www.ebi.ac.uk/efo/EFO_1000325
76,http://purl.obolibrary.org/obo/NCIT_C35089,LOOM,http://www.ebi.ac.uk/efo/EFO_0006789
77,http://purl.obolibrary.org/obo/NCIT_C35869,LOOM,http://www.ebi.ac.uk/efo/EFO_0006887
78,http://purl.obolibrary.org/obo/NCIT_C7539,LOOM,http://www.ebi.ac.uk/efo/EFO_0004289
79,http://purl.obolibrary.org/obo/NCIT_C6051,LOOM,http://www.ebi.ac.uk/efo/EFO_1000598
80,http://purl.obolibrary.org/obo/NCIT_C4642,LOOM,http://www.ebi.ac.uk/efo/EFO_0006545
81,http://purl.obolibrary.org/obo/NCIT_C95406,LOOM,http://www.ebi.ac.uk/efo/EFO_1000219
