	source_ontology	source_id	map_method	target_id
89	EFO	http://purl.obolibrary.org/obo/CHEBI_24432	LOOM	http://www.bioassayontology.org/bao#BAO_0110002
91	EFO	http://purl.obolibrary.org/obo/CHEBI_48607	LOOM	http://www.bioassayontology.org/bao#BAO_0000957
93	EFO	http://www.ebi.ac.uk/efo/EFO_0022725	LOOM	http://www.bioassayontology.org/bao#BAO_0000732
95	EFO	http://purl.obolibrary.org/obo/PR_000001103	LOOM	http://www.bioassayontology.org/bao#BAO_0200012
96	EFO	http://purl.obolibrary.org/obo/PR_000001613	LOOM	http://www.bioassayontology.org/bao#BAO_0200013
100	EFO	http://www.ebi.ac.uk/efo/EFO_0004176	LOOM	http://www.bioassayontology.org/bao#BAO_0010023
102	EFO	http://www.ebi.ac.uk/efo/EFO_0002012	LOOM	http://www.bioassayontology.org/bao#BAO_0002590
104	EFO	http://purl.obolibrary.org/obo/GO_0003674	LOOM	http://www.bioassayontology.org/bao#BAO_0200547
105	EFO	http://purl.obolibrary.org/obo/PR_000017053	LOOM	http://www.bioassayontology.org/bao#BAO_0030051
107	EFO	http://purl.obolibrary.org/obo/PR_000017061	LOOM	http://www.bioassayontology.org/bao#BAO_0030059
110	EFO	http://purl.obolibrary.org/obo/PR_000006118	LOOM	http://www.bioassayontology.org/bao#BAO_0030019
112	EFO	http://purl.obolibrary.org/obo/PR_000017300	LOOM	http://www.bioassayontology.org/bao#BAO_0200280
113	EFO	http://purl.obolibrary.org/obo/CHEBI_27902	LOOM	http://www.bioassayontology.org/bao#BAO_0000748
115	EFO	http://purl.obolibrary.org/obo/GO_0003674	LOOM	http://www.bioassayontology.org/bao#BAO_0003075
117	EFO	http://purl.obolibrary.org/obo/CHEBI_24621	LOOM	http://www.bioassayontology.org/bao#BAO_0200430
119	EFO	http://purl.obolibrary.org/obo/CHEBI_9516	LOOM	http://www.bioassayontology.org/bao#BAO_0001030
123	EFO	http://purl.obolibrary.org/obo/PR_000011387	LOOM	http://www.bioassayontology.org/bao#BAO_0000976
125	EFO	http://purl.obolibrary.org/obo/CHEBI_53461	LOOM	http://www.bioassayontology.org/bao#BAO_0000975
127	EFO	http://www.ebi.ac.uk/efo/EFO_0008479	LOOM	http://www.bioassayontology.org/bao#BAO_0000316
129	EFO	http://www.ebi.ac.uk/efo/EFO_0008481	LOOM	http://www.bioassayontology.org/bao#BAO_0000315
131	EFO	http://purl.obolibrary.org/obo/GO_0008150	LOOM	http://www.bioassayontology.org/bao#BAO_0000264
133	EFO	http://purl.obolibrary.org/obo/PR_000001161	LOOM	http://www.bioassayontology.org/bao#BAO_0200001
134	EFO	http://purl.obolibrary.org/obo/PR_000001166	LOOM	http://www.bioassayontology.org/bao#BAO_0200006
135	EFO	http://purl.obolibrary.org/obo/PR_000001162	LOOM	http://www.bioassayontology.org/bao#BAO_0200002
136	EFO	http://purl.obolibrary.org/obo/PR_000007988	LOOM	http://www.bioassayontology.org/bao#BAO_0200273
137	EFO	http://purl.obolibrary.org/obo/PR_000003762	LOOM	http://www.bioassayontology.org/bao#BAO_0200279
138	EFO	http://purl.obolibrary.org/obo/PR_000005869	LOOM	http://www.bioassayontology.org/bao#BAO_0200271
139	EFO	http://purl.obolibrary.org/obo/PR_000004972	LOOM	http://www.bioassayontology.org/bao#BAO_0200270
142	EFO	http://www.ebi.ac.uk/efo/EFO_0002238	LOOM	http://www.bioassayontology.org/bao#BAO_0002714
144	EFO	http://www.ebi.ac.uk/efo/EFO_0001236	LOOM	http://www.bioassayontology.org/bao#BAO_0002712
146	EFO	http://purl.obolibrary.org/obo/CHEBI_50845	LOOM	http://www.bioassayontology.org/bao#BAO_0000759
148	EFO	http://purl.obolibrary.org/obo/GO_0005575	LOOM	http://www.bioassayontology.org/bao#BAO_0003052
151	EFO	http://purl.obolibrary.org/obo/CHEBI_16856	LOOM	http://www.bioassayontology.org/bao#BAO_0003057
153	EFO	http://purl.obolibrary.org/obo/PR_000001186	LOOM	http://www.bioassayontology.org/bao#BAO_0200025
154	EFO	http://purl.obolibrary.org/obo/PR_000010120	LOOM	http://www.bioassayontology.org/bao#BAO_0030008
156	EFO	http://purl.obolibrary.org/obo/PR_000016819	LOOM	http://www.bioassayontology.org/bao#BAO_0030009
159	EFO	http://www.ebi.ac.uk/efo/EFO_0000395	LOOM	http://www.bioassayontology.org/bao#BAO_0002198
161	EFO	http://www.ebi.ac.uk/efo/EFO_0003236	LOOM	http://www.bioassayontology.org/bao#BAO_0000771
163	EFO	http://purl.obolibrary.org/obo/CHEBI_29699	LOOM	http://www.bioassayontology.org/bao#BAO_0000773
165	EFO	http://purl.obolibrary.org/obo/OMIT_0001676	LOOM	http://www.bioassayontology.org/bao#BAO_0000775
167	EFO	http://purl.obolibrary.org/obo/CHEBI_18059	LOOM	http://www.bioassayontology.org/bao#BAO_0000171
170	EFO	http://purl.obolibrary.org/obo/CHEBI_36080	LOOM	http://www.bioassayontology.org/bao#BAO_0000175
174	EFO	http://purl.obolibrary.org/obo/OBI_0100026	LOOM	http://www.bioassayontology.org/bao#BAO_0000551
176	EFO	http://www.ebi.ac.uk/efo/EFO_0007564	LOOM	http://www.bioassayontology.org/bao#BAO_0000663
178	EFO	http://purl.obolibrary.org/obo/CHEBI_63954	LOOM	http://www.bioassayontology.org/bao#BAO_0000763
180	EFO	http://purl.obolibrary.org/obo/CHEBI_50114	LOOM	http://www.bioassayontology.org/bao#BAO_0000760
182	EFO	http://purl.obolibrary.org/obo/CHEBI_26536	LOOM	http://www.bioassayontology.org/bao#BAO_0000769
184	EFO	http://purl.obolibrary.org/obo/SO_0000704	LOOM	http://www.bioassayontology.org/bao#BAO_0000582
186	EFO	http://www.ebi.ac.uk/efo/EFO_0000408	LOOM	http://www.bioassayontology.org/bao#BAO_0002927
188	EFO	http://purl.obolibrary.org/obo/BFO_0000023	LOOM	http://www.bioassayontology.org/bao#BAO_0002929
190	EFO	http://purl.obolibrary.org/obo/BFO_0000019	LOOM	http://www.bioassayontology.org/bao#BAO_0002928
192	EFO	http://www.ebi.ac.uk/efo/EFO_0000506	LOOM	http://www.bioassayontology.org/bao#BAO_0002441
194	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9534	LOOM	http://www.bioassayontology.org/bao#BAO_0002639
196	EFO	http://purl.obolibrary.org/obo/CHEBI_26710	LOOM	http://www.bioassayontology.org/bao#BAO_0100012
198	EFO	http://purl.obolibrary.org/obo/CHEBI_32588	LOOM	http://www.bioassayontology.org/bao#BAO_0100011
200	EFO	http://purl.obolibrary.org/obo/CHEBI_15551	LOOM	http://www.bioassayontology.org/bao#BAO_0001001
202	EFO	http://www.ebi.ac.uk/efo/EFO_0000264	LOOM	http://www.bioassayontology.org/bao#BAO_0000502
204	EFO	http://www.ebi.ac.uk/efo/EFO_0002702	LOOM	http://www.bioassayontology.org/bao#BAO_0000505
206	EFO	http://purl.obolibrary.org/obo/CHEBI_15843	LOOM	http://www.bioassayontology.org/bao#BAO_0000853
208	EFO	http://purl.obolibrary.org/obo/OBI_0000427	LOOM	http://www.bioassayontology.org/bao#BAO_0000279
210	EFO	http://www.ebi.ac.uk/efo/EFO_0003024	LOOM	http://www.bioassayontology.org/bao#BAO_0000271
212	EFO	http://purl.obolibrary.org/obo/PATO_0000161	LOOM	http://www.bioassayontology.org/bao#BAO_0080019
214	EFO	http://purl.obolibrary.org/obo/CHEBI_28748	LOOM	http://www.bioassayontology.org/bao#BAO_0000639
216	EFO	http://purl.obolibrary.org/obo/CHEBI_42471	LOOM	http://www.bioassayontology.org/bao#BAO_0000638
218	EFO	http://purl.obolibrary.org/obo/PR_000001668	LOOM	http://www.bioassayontology.org/bao#BAO_0200160
