	source_ontology	source_id	map_method	target_id
0	BAO	http://www.bioassayontology.org/bao#BAO_0002463	LOOM	http://purl.obolibrary.org/obo/MMO_0000426
1	BAO	http://www.bioassayontology.org/bao#BAO_0000370	LOOM	https://w3id.org/emmo#EMMO_32e701c0_a925_49df_9829_0931b8554807
2	BAO	http://www.bioassayontology.org/bao#BAO_0080038	LOOM	https://w3id.org/emmo#EMMO_0ca67b4c_bdd3_40a6_b8c6_ba77e39c13a3
3	BAO	http://www.bioassayontology.org/bao#BAO_0002104	LOOM	https://w3id.org/emmo#EMMO_4a464c8d_8895_44a8_a628_aed13509f1bd
4	BAO	http://purl.obolibrary.org/obo/UO_0000152	LOOM	https://w3id.org/emmo#EMMO_90f255f7_4890_440d_a8de_841a8437676c
5	BAO	http://purl.obolibrary.org/obo/UO_0000186	LOOM	https://w3id.org/emmo#EMMO_3227b821_26a5_4c7c_9c01_5c24483e0bd0
6	BAO	http://purl.obolibrary.org/obo/PATO_0000122	LOOM	https://w3id.org/emmo#EMMO_cd2cd0de_e0cc_4ef1_b27e_2e88db027bac
7	BAO	http://purl.obolibrary.org/obo/PATO_0000918	LOOM	https://w3id.org/emmo#EMMO_f1a51559_aa3d_43a0_9327_918039f0dfed
8	BAO	http://www.bioassayontology.org/bao#BAO_0002428	LOOM	http://purl.obolibrary.org/obo/MMO_0000073
9	BAO	http://www.bioassayontology.org/bao#BAO_0000453	LOOM	http://purl.obolibrary.org/obo/MMO_0000685
10	BAO	http://purl.obolibrary.org/obo/PATO_0000921	LOOM	https://w3id.org/emmo#EMMO_e4de48b1_dabb_4490_ac2b_040f926c64f0
11	BAO	http://purl.obolibrary.org/obo/UO_0000001	LOOM	https://w3id.org/emmo#EMMO_b3600e73_3e05_479d_9714_c041c3acf5cc
12	BAO	http://www.bioassayontology.org/bao#BAO_0003067	LOOM	https://w3id.org/emmo#EMMO_82fc8506_1f84_4add_9683_abea077bd1e3
13	BAO	http://purl.obolibrary.org/obo/UO_0000003	LOOM	https://w3id.org/emmo#EMMO_02e894c3_b793_4197_b120_3442e08f58d1
14	BAO	http://www.bioassayontology.org/bao#BAO_0190003	LOOM	https://w3id.org/emmo#EMMO_02e894c3_b793_4197_b120_3442e08f58d1
15	BAO	http://www.bioassayontology.org/bao#BAO_0000415	LOOM	http://purl.obolibrary.org/obo/MMO_0000498
16	BAO	http://www.bioassayontology.org/bao#BAO_0002508	LOOM	http://purl.obolibrary.org/obo/MMO_0000682
17	BAO	http://www.bioassayontology.org/bao#BAO_0000129	LOOM	http://purl.obolibrary.org/obo/MMO_0000098
18	BAO	http://purl.obolibrary.org/obo/PATO_0001334	LOOM	https://w3id.org/emmo#EMMO_c1c8ac3c_8a1c_4777_8e0b_14c1f9f9b0c6
19	BAO	http://www.bioassayontology.org/bao#BAO_0000565	LOOM	https://w3id.org/emmo#EMMO_573c7572_e7c7_4909_93a4_2bfe102e389d
20	BAO	http://purl.obolibrary.org/obo/UO_0000005	LOOM	https://w3id.org/emmo#EMMO_a77a0a4b_6bd2_42b2_be27_4b63cebbb59e
21	BAO	http://www.bioassayontology.org/bao#BAO_0190002	LOOM	https://w3id.org/emmo#EMMO_a77a0a4b_6bd2_42b2_be27_4b63cebbb59e
22	BAO	http://www.bioassayontology.org/bao#BAO_0000055	LOOM	http://purl.obolibrary.org/obo/MMO_0000534
23	BAO	http://www.bioassayontology.org/bao#BAO_0010252	LOOM	http://purl.obolibrary.org/obo/MMO_0000642
24	BAO	http://www.bioassayontology.org/bao#BAO_0000015	LOOM	http://purl.obolibrary.org/obo/MMO_0000441
25	BAO	http://purl.obolibrary.org/obo/UO_0000105	LOOM	https://w3id.org/emmo#EMMO_515b5579_d526_4842_9e6f_ecc34db6f368
26	BAO	http://www.bioassayontology.org/bao#BAO_0002419	LOOM	http://purl.obolibrary.org/obo/MMO_0000458
27	BAO	http://www.bioassayontology.org/bao#BAO_0080019	LOOM	https://w3id.org/emmo#EMMO_de2c6b70_bc1e_48ff_84b7_8fa16e0287fa
28	BAO	http://purl.obolibrary.org/obo/GO_0003824	LOOM	https://w3id.org/emmo#EMMO_bd67d149_24c2_4bc9_833a_c2bc26f98fd3
29	BAO	http://www.bioassayontology.org/bao#BAO_0002805	LOOM	http://purl.obolibrary.org/obo/MMO_0000503
30	BAO	http://www.bioassayontology.org/bao#BAO_0002424	LOOM	http://purl.obolibrary.org/obo/MMO_0000338
31	BAO	http://www.bioassayontology.org/bao#BAO_0002094	LOOM	http://purl.obolibrary.org/obo/MMO_0000575
32	BAO	http://www.bioassayontology.org/bao#BAO_0002808	LOOM	https://w3id.org/emmo#EMMO_09663630_1b84_4202_91e6_e641104f579e
33	BAO	http://www.bioassayontology.org/bao#BAO_0002135	LOOM	https://w3id.org/emmo#EMMO_38d65ffa_353f_4820_8781_ff986b63e517
34	BAO	http://www.bioassayontology.org/bao#BAO_0002525	LOOM	http://purl.obolibrary.org/obo/MMO_0000127
35	BAO	http://purl.obolibrary.org/obo/PATO_0001323	LOOM	https://w3id.org/emmo#EMMO_96f39f77_44dc_491b_8fa7_30d887fe0890
36	BAO	http://www.bioassayontology.org/bao#BAO_0003043	LOOM	https://w3id.org/emmo#EMMO_21205421_5783_4d3e_81e5_10c5d894a88a
37	BAO	http://purl.obolibrary.org/obo/CHEBI_23367	LOOM	https://w3id.org/emmo#EMMO_21205421_5783_4d3e_81e5_10c5d894a88a
