	target_id	map_method	source_id	source_ontology
51	http://purl.obolibrary.org/obo/DOID_12969	LOOM	http://purl.obolibrary.org/obo/NCIT_C5440	BAO
52	http://purl.obolibrary.org/obo/DOID_0050602	LOOM	http://purl.obolibrary.org/obo/NCIT_C35710	BAO
53	http://purl.obolibrary.org/obo/DOID_4044	LOOM	http://purl.obolibrary.org/obo/NCIT_C6514	BAO
54	http://purl.obolibrary.org/obo/CHEBI_138887	LOOM	http://purl.obolibrary.org/obo/NCIT_C177182	BAO
55	http://purl.obolibrary.org/obo/CHEBI_35441	LOOM	http://purl.obolibrary.org/obo/NCIT_C254	BAO
56	http://purl.obolibrary.org/obo/CLO_0002172	LOOM	http://purl.obolibrary.org/obo/NCIT_C12912	BAO
57	http://purl.obolibrary.org/obo/CHEBI_76414	LOOM	http://purl.obolibrary.org/obo/NCIT_C176661	BAO
58	http://purl.obolibrary.org/obo/DOID_4591	LOOM	http://purl.obolibrary.org/obo/NCIT_C4720	BAO
59	http://purl.obolibrary.org/obo/DOID_3114	LOOM	http://purl.obolibrary.org/obo/NCIT_C3778	BAO
60	http://purl.obolibrary.org/obo/CHEBI_50267	LOOM	http://purl.obolibrary.org/obo/NCIT_C26170	BAO
61	http://www.bioassayontology.org/bao#BAO_0001020	LOOM	http://purl.obolibrary.org/obo/NCIT_C126907	BAO
62	http://purl.obolibrary.org/obo/DOID_5076	LOOM	http://purl.obolibrary.org/obo/NCIT_C3903	BAO
63	http://purl.obolibrary.org/obo/CHEBI_50745	LOOM	http://purl.obolibrary.org/obo/NCIT_C2296	BAO
64	http://purl.obolibrary.org/obo/DOID_0050486	LOOM	http://purl.obolibrary.org/obo/NCIT_C111884	BAO
65	http://purl.obolibrary.org/obo/CHEBI_35674	LOOM	http://purl.obolibrary.org/obo/NCIT_C270	BAO
66	http://purl.obolibrary.org/obo/DOID_2170	LOOM	http://purl.obolibrary.org/obo/NCIT_C26911	BAO
67	http://purl.obolibrary.org/obo/DOID_4323	LOOM	http://purl.obolibrary.org/obo/NCIT_C27516	BAO
68	http://purl.obolibrary.org/obo/DOID_5287	LOOM	http://purl.obolibrary.org/obo/NCIT_C6183	BAO
69	http://purl.obolibrary.org/obo/DOID_5409	LOOM	http://purl.obolibrary.org/obo/NCIT_C4917	BAO
70	http://www.bioassayontology.org/bao#BAO_0002890	LOOM	http://purl.obolibrary.org/obo/NCIT_C21591	BAO
71	http://purl.obolibrary.org/obo/DOID_4639	LOOM	http://purl.obolibrary.org/obo/NCIT_C27135	BAO
72	http://purl.obolibrary.org/obo/DOID_1388	LOOM	http://purl.obolibrary.org/obo/NCIT_C85182	BAO
73	http://purl.obolibrary.org/obo/DOID_3907	LOOM	http://purl.obolibrary.org/obo/NCIT_C3493	BAO
74	http://purl.obolibrary.org/obo/DOID_3405	LOOM	http://purl.obolibrary.org/obo/NCIT_C3106	BAO
75	http://purl.obolibrary.org/obo/DOID_1838	LOOM	http://purl.obolibrary.org/obo/NCIT_C75486	BAO
76	http://purl.obolibrary.org/obo/DOID_1099	LOOM	http://purl.obolibrary.org/obo/NCIT_C34368	BAO
77	http://purl.obolibrary.org/obo/DOID_0080690	LOOM	http://purl.obolibrary.org/obo/NCIT_C179667	BAO
78	http://purl.obolibrary.org/obo/DOID_11338	LOOM	http://purl.obolibrary.org/obo/NCIT_C85185	BAO
79	http://purl.obolibrary.org/obo/DOID_9246	LOOM	http://purl.obolibrary.org/obo/NCIT_C84625	BAO
80	http://www.bioassayontology.org/bao#BAO_0000286	LOOM	http://purl.obolibrary.org/obo/NCIT_C17671	BAO
81	http://purl.obolibrary.org/obo/CHEBI_35442	LOOM	http://purl.obolibrary.org/obo/NCIT_C276	BAO
82	http://purl.obolibrary.org/obo/DOID_10871	LOOM	http://purl.obolibrary.org/obo/NCIT_C84391	BAO
83	http://purl.obolibrary.org/obo/DOID_0050127	LOOM	http://purl.obolibrary.org/obo/NCIT_C35024	BAO
84	http://purl.obolibrary.org/obo/DOID_874	LOOM	http://purl.obolibrary.org/obo/NCIT_C26704	BAO
85	http://purl.obolibrary.org/obo/DOID_13628	LOOM	http://purl.obolibrary.org/obo/NCIT_C34607	BAO
86	http://www.bioassayontology.org/bao#BAO_0000763	LOOM	http://purl.obolibrary.org/obo/NCIT_C596	BAO
87	http://purl.obolibrary.org/obo/DOID_10456	LOOM	http://purl.obolibrary.org/obo/NCIT_C116006	BAO
88	http://purl.obolibrary.org/obo/DOID_3211	LOOM	http://purl.obolibrary.org/obo/NCIT_C61250	BAO
89	http://www.bioassayontology.org/bao#BAO_0030025	LOOM	http://purl.obolibrary.org/obo/NCIT_C17287	BAO
90	http://purl.obolibrary.org/obo/DOID_14261	LOOM	http://purl.obolibrary.org/obo/NCIT_C84717	BAO
91	http://purl.obolibrary.org/obo/NCBITaxon_6183	LOOM	http://purl.obolibrary.org/obo/NCIT_C124391	BAO
92	http://purl.obolibrary.org/obo/DOID_7489	LOOM	http://purl.obolibrary.org/obo/NCIT_C34874	BAO
93	http://purl.obolibrary.org/obo/CHEBI_177023	LOOM	http://purl.obolibrary.org/obo/NCIT_C62799	BAO
94	http://purl.obolibrary.org/obo/DOID_8476	LOOM	http://purl.obolibrary.org/obo/NCIT_C85228	BAO
95	http://purl.obolibrary.org/obo/DOID_0080031	LOOM	http://purl.obolibrary.org/obo/NCIT_C34609	BAO
96	http://purl.obolibrary.org/obo/CHEBI_50513	LOOM	http://purl.obolibrary.org/obo/NCIT_C29706	BAO
97	http://www.bioassayontology.org/bao#BAO_0080019	LOOM	http://purl.obolibrary.org/obo/NCIT_C25636	BAO
98	http://purl.obolibrary.org/obo/NCBITaxon_1351	LOOM	http://purl.obolibrary.org/obo/NCIT_C86368	BAO
99	http://purl.obolibrary.org/obo/DOID_422	LOOM	http://purl.obolibrary.org/obo/NCIT_C84648	BAO
100	http://purl.obolibrary.org/obo/DOID_7634	LOOM	http://purl.obolibrary.org/obo/NCIT_C6776	BAO
101	http://purl.obolibrary.org/obo/DOID_7532	LOOM	http://purl.obolibrary.org/obo/NCIT_C9009	BAO
102	http://purl.obolibrary.org/obo/DOID_496	LOOM	http://purl.obolibrary.org/obo/NCIT_C4754	BAO
103	http://purl.obolibrary.org/obo/DOID_5580	LOOM	http://purl.obolibrary.org/obo/NCIT_C95596	BAO
104	http://purl.obolibrary.org/obo/DOID_7818	LOOM	http://purl.obolibrary.org/obo/NCIT_C5278	BAO
